# SYNTHETIC DEMONSTRATION DATA - NOT A REAL RESULT
rank,grid_ref,grid_ref_6fig,easting,northing,suitability_score,score_percentile,distance_to_nearest_known_site_m,nearest_known_site,within_coarse_record,patch_score,elevation_m,slope_deg,twi,flow_accumulation,peat_depth,distance_to_water_m,sphagnum_flag,base_richness,m_elevation,m_geology,m_lateral_flow,m_sphagnum,m_watercourse_proximity,m_wetness
1,SX 66625 86325,SX 666 863,266625.0,86325.0,1.0,100.0,4276.7,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.8531,454.606,4.234,9.48,97.0,76.2,20.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
2,SX 66475 86725,SX 664 867,266475.0,86725.0,1.0,100.0,3855.1,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.736,407.523,3.554,9.425,77.0,112.098,20.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
3,SX 66785 86035,SX 667 860,266785.0,86035.0,1.0,100.0,4607.9,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.6499,462.341,4.589,9.182,78.0,71.413,63.246,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
4,SX 66155 87265,SX 661 872,266155.0,87265.0,1.0,100.0,3227.4,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.5701,470.009,4.391,9.132,71.0,97.063,85.44,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
5,SX 66065 87505,SX 660 875,266065.0,87505.0,0.9971,99.97,2975.2,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.5231,480.121,2.74,9.469,62.0,127.349,80.623,1.0,3.0,1.0,1.0,0.9905,1.0,1.0,1.0
6,SX 60245 86185,SX 602 861,260245.0,86185.0,0.9875,99.95,3552.8,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.8432,436.113,4.41,9.024,64.0,101.11,41.231,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
7,SX 60375 87415,SX 603 874,260375.0,87415.0,0.9875,99.95,2579.4,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.8232,463.564,4.713,9.499,110.0,85.561,28.284,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
8,SX 62555 89875,SX 625 898,262555.0,89875.0,0.9875,99.95,882.7,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.8144,337.139,4.773,9.339,95.0,82.066,100.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
9,SX 62665 90105,SX 626 901,262665.0,90105.0,0.9875,99.95,1130.1,Steeperton Brook,,0.7738,354.21,4.75,9.463,107.0,67.338,20.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
10,SX 64995 91205,SX 649 912,264995.0,91205.0,0.9875,99.95,1247.3,Raybarrow Pool area,,0.7511,349.304,3.274,9.454,73.0,83.46,139.284,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
